buy_month	sell_month	pints_purchased	expected_profit
2025-07-01	2025-12-01	273990.4625374067	114116.42272095763
2025-06-01	2025-12-01	271240.71983678546	75811.18233948873
2025-08-01	2025-12-01	254287.14921094844	59426.34534640132
2025-09-01	2025-12-01	244788.32928035327	44330.62598030632
2025-07-01	2025-11-01	273990.4625374067	42913.425259511474
2025-06-01	2025-11-01	271240.71983678546	5322.7715126238445
2025-10-01	2025-12-01	229580.95093606177	2410.0931078531307
2025-08-01	2025-11-01	254287.14921094844	-6656.273267644833
2025-05-01	2025-12-01	253822.43397233603	-18656.50929514926
2025-09-01	2025-11-01	244788.32928035327	-19283.496303096308
2025-10-01	2025-11-01	229580.95093606177	-57252.02693570509
2025-07-01	2025-10-01	273990.4625374067	-57421.88212168705
2025-11-01	2025-12-01	205180.30710631274	-83611.42815019023
2025-05-01	2025-11-01	253822.43397233603	-84618.36050127626
2025-06-01	2025-10-01	271240.71983678546	-94005.58009160717
2025-07-01	2025-09-01	273990.4625374067	-96750.47311430624
2025-08-01	2025-10-01	254287.14921094844	-99776.2273086943
2025-04-01	2025-12-01	237173.53214869378	-106742.84351898715
2025-07-01	2025-08-01	273990.4625374067	-106981.27698545327
2025-09-01	2025-10-01	244788.32928035327	-108924.98248556184
2025-03-01	2025-12-01	239764.33592068838	-120961.63683220198
2025-06-01	2025-09-01	271240.71983678546	-132939.4730169792
2025-08-01	2025-09-01	254287.14921094844	-136276.6047064337
2025-06-01	2025-08-01	271240.71983678546	-143067.60149568503
2025-03-01	2025-04-01	239764.33592068838	-157302.71722770084
2025-04-01	2025-11-01	237173.53214869378	-168378.07801259693
2025-05-01	2025-10-01	253822.43397233603	-177568.13582194582
2025-03-01	2025-11-01	239764.33592068838	-183270.15386525504
2025-06-01	2025-07-01	271240.71983678546	-184979.71752486491
2025-05-01	2025-09-01	253822.43397233603	-214001.8079943348
2025-05-01	2025-08-01	253822.43397233603	-223479.53767886205
2025-02-01	2025-12-01	217525.50442115546	-224247.5227683019
2025-01-01	2025-02-01	201103.57281467982	-224253.85349927802
2025-04-01	2025-05-01	237173.53214869378	-225442.02984757276
2025-05-01	2025-06-01	253822.43397233603	-228865.64972775485
2025-03-01	2025-05-01	239764.33592068838	-240957.45308777282
2025-02-01	2025-03-01	217525.50442115546	-244384.72881458612
2025-04-01	2025-10-01	237173.53214869378	-255231.0254854487
2025-02-01	2025-04-01	217525.50442115546	-257217.86347341657
2025-05-01	2025-07-01	253822.43397233603	-262700.1801762672
2025-03-01	2025-10-01	239764.33592068838	-271071.8536794113
2025-02-01	2025-11-01	217525.50442115546	-280776.7457042454
2025-04-01	2025-09-01	237173.53214869378	-289274.91429007205
2025-04-01	2025-08-01	237173.53214869378	-298130.97398050455
2025-01-01	2025-12-01	201103.57281467982	-302922.75573436124
2025-04-01	2025-06-01	237173.53214869378	-303163.7963326996
2025-03-01	2025-09-01	239764.33592068838	-305487.62645746674
2025-03-01	2025-08-01	239764.33592068838	-314440.42676074547
2025-03-01	2025-06-01	239764.33592068838	-319528.2259689823
2025-01-01	2025-03-01	201103.57281467982	-321539.7178841075
2025-02-01	2025-05-01	217525.50442115546	-333113.38206797553
2025-01-01	2025-04-01	201103.57281467982	-333404.0242658824
2025-04-01	2025-07-01	237173.53214869378	-334779.02816812054
2025-03-01	2025-07-01	239764.33592068838	-351488.8119472101
2025-01-01	2025-11-01	201103.57281467982	-355184.3456160034
2025-02-01	2025-10-01	217525.50442115546	-360434.5854232726
2025-02-01	2025-09-01	217525.50442115546	-391658.19632788515
2025-02-01	2025-08-01	217525.50442115546	-399780.5986629713
2025-01-01	2025-05-01	201103.57281467982	-403569.8652352155
2025-02-01	2025-06-01	217525.50442115546	-404396.4898667881
2025-01-01	2025-10-01	201103.57281467982	-428828.4739807393
2025-02-01	2025-07-01	217525.50442115546	-433392.6396061281
2025-01-01	2025-09-01	201103.57281467982	-457694.8808225583
2025-01-01	2025-08-01	201103.57281467982	-465204.0882314586
2025-01-01	2025-06-01	201103.57281467982	-469471.506046586
2025-01-01	2025-07-01	201103.57281467982	-496278.6123027828
